,User Name,Heading,Rating,Review,tokens,tokens_seg,tokens_stem,review1
0,Rajesh Dandapat,wonderful,5,osm product,"['osm', 'product']","['osm', 'product']","['osm', 'product']",osm product
1,Flipkart Customer,could be way better,5,bad working of phone not working as expected,"['bad', 'working', 'of', 'phone', 'not', 'working', 'as', 'expected']","['bad', 'working', 'of', 'phone', 'not', 'working', 'as', 'expected']","['bad', 'work', 'phone', 'not', 'work', 'expect']",bad work phone not work expect
2,Subhrajit Sahoo,excellent,5,excellent phone,"['excellent', 'phone']","['excellent', 'phone']","['excel', 'phone']",excel phone
3,Hardik Maheshwari,awesome,3,awesome budget phone,"['awesome', 'budget', 'phone']","['awesome', 'budget', 'phone']","['awesom', 'budget', 'phone']",awesom budget phone
4,jeetendra  panthi,nice,4,sometimes this phone is hangso please dont buy this product,"['sometimes', 'this', 'phone', 'is', 'hangso', 'please', 'dont', 'buy', 'this', 'product']","['sometimes', 'this', 'phone', 'is', 'hang', 'so', 'please', 'dont', 'buy', 'this', 'product']","['sometim', 'phone', 'hang', 'pleas', 'dont', 'buy', 'product']",sometim phone hang pleas dont buy product
5,amit garg,good quality product,4,very nice lookin mobile this price,"['very', 'nice', 'lookin', 'mobile', 'this', 'price']","['very', 'nice', 'look', 'in', 'mobile', 'this', 'price']","['nice', 'look', 'mobil', 'price']",nice look mobil price
6,Raja  Thakur,not recommended at all,5,camera not good,"['camera', 'not', 'good']","['camera', 'not', 'good']","['camera', 'not', 'good']",camera not good
7,Flipkart Customer,nice product,3,good,['good'],['good'],['good'],good
8,Ankit Kumar,fabulous,2,nice mobile and good working,"['nice', 'mobile', 'and', 'good', 'working']","['nice', 'mobile', 'and', 'good', 'working']","['nice', 'mobil', 'good', 'work']",nice mobil good work
9,Yogesh  Maurya,fair,1,good cameraaverage for gamingno heating problemsvery bad battery backup,"['good', 'cameraaverage', 'for', 'gamingno', 'heating', 'problemsvery', 'bad', 'battery', 'backup']","['good', 'camera', 'average', 'for', 'gaming', 'no', 'heating', 'problems', 'very', 'bad', 'battery', 'backup']","['good', 'camera', 'averag', 'game', 'heat', 'problem', 'bad', 'batteri', 'backup']",good camera averag game heat problem bad batteri backup
10,Saptak Mukherjee,must buy,5,good,['good'],['good'],['good'],good
11,Flipkart Customer,really nice,4,working smoothly nice specifications,"['working', 'smoothly', 'nice', 'specifications']","['working', 'smoothly', 'nice', 'specifications']","['work', 'smoothli', 'nice', 'specif']",work smoothli nice specif
12,Suraj  Yadav,expected a better product,4,very bad product front camera is very low quality,"['very', 'bad', 'product', 'front', 'camera', 'is', 'very', 'low', 'quality']","['very', 'bad', 'product', 'front', 'camera', 'is', 'very', 'low', 'quality']","['bad', 'product', 'front', 'camera', 'low', 'qualiti']",bad product front camera low qualiti
13,Giri Hassan,worth the money,4,rare camera is awesome selfie camera not got what we expected over all good atv this price,"['rare', 'camera', 'is', 'awesome', 'selfie', 'camera', 'not', 'got', 'what', 'we', 'expected', 'over', 'all', 'good', 'atv', 'this', 'price']","['rare', 'camera', 'is', 'awesome', 'self', 'ie', 'camera', 'not', 'got', 'what', 'we', 'expected', 'over', 'all', 'good', 'atv', 'this', 'price']","['rare', 'camera', 'awesom', 'self', 'ie', 'camera', 'not', 'got', 'expect', 'good', 'atv', 'price']",rare camera awesom self ie camera not got expect good atv price
14,sairam guttula,wonderful,5,cameras good looking classy display excellent,"['cameras', 'good', 'looking', 'classy', 'display', 'excellent']","['cameras', 'good', 'looking', 'classy', 'display', 'excellent']","['camera', 'good', 'look', 'classi', 'display', 'excel']",camera good look classi display excel
15,Sreekandan K,terrific purchase,5,camera very nice,"['camera', 'very', 'nice']","['camera', 'very', 'nice']","['camera', 'nice']",camera nice
16,Flipkart Customer,wonderful,3,good product good performance good battery backup heavy weight good look,"['good', 'product', 'good', 'performance', 'good', 'battery', 'backup', 'heavy', 'weight', 'good', 'look']","['good', 'product', 'good', 'performance', 'good', 'battery', 'backup', 'heavy', 'weight', 'good', 'look']","['good', 'product', 'good', 'perform', 'good', 'batteri', 'backup', 'heavi', 'weight', 'good', 'look']",good product good perform good batteri backup heavi weight good look
17,Tofik malek Malek,good,5,nice,['nice'],['nice'],['nice'],nice
18,Suraj Sahu,wonderful,4,nice but not well,"['nice', 'but', 'not', 'well']","['nice', 'but', 'not', 'well']","['nice', 'not', 'well']",nice not well
19,Flipkart Customer,wonderful,2,nice budget mobile,"['nice', 'budget', 'mobile']","['nice', 'budget', 'mobile']","['nice', 'budget', 'mobil']",nice budget mobil
20,Ashutosh Murari,pretty good,4,good product,"['good', 'product']","['good', 'product']","['good', 'product']",good product
21,Jegadheesh Mouli ,worthless,4,worst damage product arrived sim slot bended and display problems dont buy in online ,"['worst', 'damage', 'product', 'arrived', 'sim', 'slot', 'bended', 'and', 'display', 'problems', 'dont', 'buy', 'in', 'online']","['worst', 'damage', 'product', 'arrived', 'sim', 'slot', 'bended', 'and', 'display', 'problems', 'dont', 'buy', 'in', 'online']","['worst', 'damag', 'product', 'arriv', 'sim', 'slot', 'bend', 'display', 'problem', 'dont', 'buy', 'onlin']",worst damag product arriv sim slot bend display problem dont buy onlin
22,Saurab Gaur,good quality product,4,nice mobile justified price,"['nice', 'mobile', 'justified', 'price']","['nice', 'mobile', 'justified', 'price']","['nice', 'mobil', 'justifi', 'price']",nice mobil justifi price
23,Amit  Kumar sir,delightful,5,good,['good'],['good'],['good'],good
24,Flipkart Customer,terrific,5,its a very good phone compared with other phones,"['its', 'a', 'very', 'good', 'phone', 'compared', 'with', 'other', 'phones']","['its', 'a', 'very', 'good', 'phone', 'compared', 'with', 'other', 'phones']","['good', 'phone', 'compar', 'phone']",good phone compar phone
25,Rakesh  Negi,awesome,5,okk,['okk'],['okk'],['okk'],okk
26,Flipkart Customer,did not meet expectations,4, class camera both frontbackside dont buy this product full waste of money,"['class', 'camera', 'both', 'frontbackside', 'dont', 'buy', 'this', 'product', 'full', 'waste', 'of', 'money']","['class', 'camera', 'both', 'front', 'backside', 'dont', 'buy', 'this', 'product', 'full', 'waste', 'of', 'money']","['class', 'camera', 'front', 'backsid', 'dont', 'buy', 'product', 'full', 'wast', 'money']",class camera front backsid dont buy product full wast money
27,Salauddin Ansari,fabulous,5,low budget for good mobile,"['low', 'budget', 'for', 'good', 'mobile']","['low', 'budget', 'for', 'good', 'mobile']","['low', 'budget', 'good', 'mobil']",low budget good mobil
28,Ajit Biswas,really nice,1,good product but macro lens is not good and camera noise is maximum in low light,"['good', 'product', 'but', 'macro', 'lens', 'is', 'not', 'good', 'and', 'camera', 'noise', 'is', 'maximum', 'in', 'low', 'light']","['good', 'product', 'but', 'macro', 'lens', 'is', 'not', 'good', 'and', 'camera', 'noise', 'is', 'maximum', 'in', 'low', 'light']","['good', 'product', 'macro', 'len', 'not', 'good', 'camera', 'nois', 'maximum', 'low', 'light']",good product macro len not good camera nois maximum low light
29,Rofiul Mallick,classy product,1,good,['good'],['good'],['good'],good
30,Narendra  Pilley ,mindblowing purchase,5,nice mobile,"['nice', 'mobile']","['nice', 'mobile']","['nice', 'mobil']",nice mobil
31,Flipkart Customer,brilliant,5,best,['best'],['best'],['best'],best
32,Rahul Manikpuri,fair,3,good,['good'],['good'],['good'],good
